#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=4.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 08:15:18
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(4)' coupled to the particle 'H2+'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_i2: 10 calculated values between 1.0000e+15 and 1.0000e+17

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_i2          POP_COEFF      
   1.6681        1.2915e+19    1.0000e+15    1.17385604e-22     
   1.6681        1.2915e+19    1.6681e+15    1.17385604e-22     
   1.6681        1.2915e+19    2.7826e+15    1.17385604e-22     
   1.6681        1.2915e+19    4.6416e+15    1.17385604e-22     
   1.6681        1.2915e+19    7.7426e+15    1.17385604e-22     
   1.6681        1.2915e+19    1.2915e+16    1.17385604e-22     
   1.6681        1.2915e+19    2.1544e+16    1.17385604e-22     
   1.6681        1.2915e+19    3.5938e+16    1.17385604e-22     
   1.6681        1.2915e+19    5.9948e+16    1.17385604e-22     
   1.6681        1.2915e+19    1.0000e+17    1.17385604e-22     
   1.6681        2.1544e+19    1.0000e+15    8.35858037e-23     
   1.6681        2.1544e+19    1.6681e+15    8.35858037e-23     
   1.6681        2.1544e+19    2.7826e+15    8.35858037e-23     
   1.6681        2.1544e+19    4.6416e+15    8.35858037e-23     
   1.6681        2.1544e+19    7.7426e+15    8.35858037e-23     
   1.6681        2.1544e+19    1.2915e+16    8.35858037e-23     
   1.6681        2.1544e+19    2.1544e+16    8.35858037e-23     
   1.6681        2.1544e+19    3.5938e+16    8.35858037e-23     
   1.6681        2.1544e+19    5.9948e+16    8.35858037e-23     
   1.6681        2.1544e+19    1.0000e+17    8.35858037e-23     
   1.6681        3.5938e+19    1.0000e+15    5.81550473e-23     
   1.6681        3.5938e+19    1.6681e+15    5.81550473e-23     
   1.6681        3.5938e+19    2.7826e+15    5.81550473e-23     
   1.6681        3.5938e+19    4.6416e+15    5.81550473e-23     
   1.6681        3.5938e+19    7.7426e+15    5.81550473e-23     
   1.6681        3.5938e+19    1.2915e+16    5.81550473e-23     
   1.6681        3.5938e+19    2.1544e+16    5.81550473e-23     
   1.6681        3.5938e+19    3.5938e+16    5.81550473e-23     
   1.6681        3.5938e+19    5.9948e+16    5.81550473e-23     
   1.6681        3.5938e+19    1.0000e+17    5.81550473e-23     
   1.6681        5.9948e+19    1.0000e+15    3.94328946e-23     
   1.6681        5.9948e+19    1.6681e+15    3.94328946e-23     
   1.6681        5.9948e+19    2.7826e+15    3.94328946e-23     
   1.6681        5.9948e+19    4.6416e+15    3.94328946e-23     
   1.6681        5.9948e+19    7.7426e+15    3.94328946e-23     
   1.6681        5.9948e+19    1.2915e+16    3.94328946e-23     
   1.6681        5.9948e+19    2.1544e+16    3.94328946e-23     
   1.6681        5.9948e+19    3.5938e+16    3.94328946e-23     
   1.6681        5.9948e+19    5.9948e+16    3.94328946e-23     
   1.6681        5.9948e+19    1.0000e+17    3.94328946e-23     
   1.6681        1.0000e+20    1.0000e+15    2.60303857e-23     
   1.6681        1.0000e+20    1.6681e+15    2.60303857e-23     
   1.6681        1.0000e+20    2.7826e+15    2.60303857e-23     
   1.6681        1.0000e+20    4.6416e+15    2.60303857e-23     
   1.6681        1.0000e+20    7.7426e+15    2.60303857e-23     
   1.6681        1.0000e+20    1.2915e+16    2.60303857e-23     
   1.6681        1.0000e+20    2.1544e+16    2.60303857e-23     
   1.6681        1.0000e+20    3.5938e+16    2.60303857e-23     
   1.6681        1.0000e+20    5.9948e+16    2.60303857e-23     
   1.6681        1.0000e+20    1.0000e+17    2.60303857e-23     
   2.1544        1.0000e+18    1.0000e+15    3.31742169e-22     
   2.1544        1.0000e+18    1.6681e+15    3.31742169e-22     
   2.1544        1.0000e+18    2.7826e+15    3.31742169e-22     
   2.1544        1.0000e+18    4.6416e+15    3.31742169e-22     
   2.1544        1.0000e+18    7.7426e+15    3.31742169e-22     
   2.1544        1.0000e+18    1.2915e+16    3.31742169e-22     
   2.1544        1.0000e+18    2.1544e+16    3.31742169e-22     
   2.1544        1.0000e+18    3.5938e+16    3.31742169e-22     
   2.1544        1.0000e+18    5.9948e+16    3.31742169e-22     
   2.1544        1.0000e+18    1.0000e+17    3.31742169e-22     
   2.1544        1.6681e+18    1.0000e+15    2.82834163e-22     
   2.1544        1.6681e+18    1.6681e+15    2.82834163e-22     
   2.1544        1.6681e+18    2.7826e+15    2.82834163e-22     
   2.1544        1.6681e+18    4.6416e+15    2.82834163e-22     
   2.1544        1.6681e+18    7.7426e+15    2.82834163e-22     
   2.1544        1.6681e+18    1.2915e+16    2.82834163e-22     
   2.1544        1.6681e+18    2.1544e+16    2.82834163e-22     
   2.1544        1.6681e+18    3.5938e+16    2.82834163e-22     
   2.1544        1.6681e+18    5.9948e+16    2.82834163e-22     
   2.1544        1.6681e+18    1.0000e+17    2.82834163e-22     
   2.1544        2.7826e+18    1.0000e+15    2.29455927e-22     
   2.1544        2.7826e+18    1.6681e+15    2.29455927e-22     
   2.1544        2.7826e+18    2.7826e+15    2.29455927e-22     
   2.1544        2.7826e+18    4.6416e+15    2.29455927e-22     
   2.1544        2.7826e+18    7.7426e+15    2.29455927e-22     
   2.1544        2.7826e+18    1.2915e+16    2.29455927e-22     
   2.1544        2.7826e+18    2.1544e+16    2.29455927e-22     
   2.1544        2.7826e+18    3.5938e+16    2.29455927e-22     
   2.1544        2.7826e+18    5.9948e+16    2.29455927e-22     
   2.1544        2.7826e+18    1.0000e+17    2.29455927e-22     
   2.1544        4.6416e+18    1.0000e+15    1.77534561e-22     
   2.1544        4.6416e+18    1.6681e+15    1.77534561e-22     
   2.1544        4.6416e+18    2.7826e+15    1.77534561e-22     
   2.1544        4.6416e+18    4.6416e+15    1.77534561e-22     
   2.1544        4.6416e+18    7.7426e+15    1.77534561e-22     
   2.1544        4.6416e+18    1.2915e+16    1.77534561e-22     
   2.1544        4.6416e+18    2.1544e+16    1.77534561e-22     
   2.1544        4.6416e+18    3.5938e+16    1.77534561e-22     
   2.1544        4.6416e+18    5.9948e+16    1.77534561e-22     
   2.1544        4.6416e+18    1.0000e+17    1.77534561e-22     
   2.1544        7.7426e+18    1.0000e+15    1.32116970e-22     
   2.1544        7.7426e+18    1.6681e+15    1.32116970e-22     
   2.1544        7.7426e+18    2.7826e+15    1.32116970e-22     
   2.1544        7.7426e+18    4.6416e+15    1.32116970e-22     
   2.1544        7.7426e+18    7.7426e+15    1.32116970e-22     
   2.1544        7.7426e+18    1.2915e+16    1.32116970e-22     
   2.1544        7.7426e+18    2.1544e+16    1.32116970e-22     
   2.1544        7.7426e+18    3.5938e+16    1.32116970e-22     
   2.1544        7.7426e+18    5.9948e+16    1.32116970e-22     
   2.1544        7.7426e+18    1.0000e+17    1.32116970e-22     
   2.1544        1.2915e+19    1.0000e+15    9.54724595e-23     
   2.1544        1.2915e+19    1.6681e+15    9.54724595e-23     
   2.1544        1.2915e+19    2.7826e+15    9.54724595e-23     
   2.1544        1.2915e+19    4.6416e+15    9.54724595e-23     
   2.1544        1.2915e+19    7.7426e+15    9.54724595e-23     
   2.1544        1.2915e+19    1.2915e+16    9.54724595e-23     
   2.1544        1.2915e+19    2.1544e+16    9.54724595e-23     
   2.1544        1.2915e+19    3.5938e+16    9.54724595e-23     
   2.1544        1.2915e+19    5.9948e+16    9.54724595e-23     
   2.1544        1.2915e+19    1.0000e+17    9.54724595e-23     
   2.1544        2.1544e+19    1.0000e+15    6.73446763e-23     
   2.1544        2.1544e+19    1.6681e+15    6.73446763e-23     
   2.1544        2.1544e+19    2.7826e+15    6.73446763e-23     
   2.1544        2.1544e+19    4.6416e+15    6.73446763e-23     
   2.1544        2.1544e+19    7.7426e+15    6.73446763e-23     
   2.1544        2.1544e+19    1.2915e+16    6.73446763e-23     
   2.1544        2.1544e+19    2.1544e+16    6.73446763e-23     
   2.1544        2.1544e+19    3.5938e+16    6.73446763e-23     
   2.1544        2.1544e+19    5.9948e+16    6.73446763e-23     
   2.1544        2.1544e+19    1.0000e+17    6.73446763e-23     
   2.1544        3.5938e+19    1.0000e+15    4.63577963e-23     
   2.1544        3.5938e+19    1.6681e+15    4.63577963e-23     
   2.1544        3.5938e+19    2.7826e+15    4.63577963e-23     
   2.1544        3.5938e+19    4.6416e+15    4.63577963e-23     
   2.1544        3.5938e+19    7.7426e+15    4.63577963e-23     
   2.1544        3.5938e+19    1.2915e+16    4.63577963e-23     
   2.1544        3.5938e+19    2.1544e+16    4.63577963e-23     
   2.1544        3.5938e+19    3.5938e+16    4.63577963e-23     
   2.1544        3.5938e+19    5.9948e+16    4.63577963e-23     
   2.1544        3.5938e+19    1.0000e+17    4.63577963e-23     
