#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=5.dat'
#   Date of creation: 10. May 2022
#   Time of creation: 13:36:31
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(5)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 20 calculated values between 1.0000 and 20.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 3 given values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_n1: 3 given values between 1.0000e+18 and 1.0000e+20

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_n1          POP_COEFF      
   10.6446       1.0000e+20    1.0000e+19    7.84241448e-25     
   10.6446       1.0000e+20    1.0000e+20    7.84241448e-25     
   12.4625       1.0000e+18    1.0000e+18    1.57837541e-23     
   12.4625       1.0000e+18    1.0000e+19    1.57837541e-23     
   12.4625       1.0000e+18    1.0000e+20    1.57837541e-23     
   12.4625       1.0000e+19    1.0000e+18    4.29323032e-24     
   12.4625       1.0000e+19    1.0000e+19    4.29323032e-24     
   12.4625       1.0000e+19    1.0000e+20    4.29323032e-24     
   12.4625       1.0000e+20    1.0000e+18    9.39977020e-25     
   12.4625       1.0000e+20    1.0000e+19    9.39977020e-25     
   12.4625       1.0000e+20    1.0000e+20    9.39977020e-25     
   14.5908       1.0000e+18    1.0000e+18    1.86192966e-23     
   14.5908       1.0000e+18    1.0000e+19    1.86192966e-23     
   14.5908       1.0000e+18    1.0000e+20    1.86192966e-23     
   14.5908       1.0000e+19    1.0000e+18    5.03798611e-24     
   14.5908       1.0000e+19    1.0000e+19    5.03798611e-24     
   14.5908       1.0000e+19    1.0000e+20    5.03798611e-24     
   14.5908       1.0000e+20    1.0000e+18    1.10304915e-24     
   14.5908       1.0000e+20    1.0000e+19    1.10304915e-24     
   14.5908       1.0000e+20    1.0000e+20    1.10304915e-24     
   17.0826       1.0000e+18    1.0000e+18    2.15171774e-23     
   17.0826       1.0000e+18    1.0000e+19    2.15171774e-23     
   17.0826       1.0000e+18    1.0000e+20    2.15171774e-23     
   17.0826       1.0000e+19    1.0000e+18    5.79916620e-24     
   17.0826       1.0000e+19    1.0000e+19    5.79916620e-24     
   17.0826       1.0000e+19    1.0000e+20    5.79916620e-24     
   17.0826       1.0000e+20    1.0000e+18    1.27102798e-24     
   17.0826       1.0000e+20    1.0000e+19    1.27102798e-24     
   17.0826       1.0000e+20    1.0000e+20    1.27102798e-24     
   20.0000       1.0000e+18    1.0000e+18    2.44254451e-23     
   20.0000       1.0000e+18    1.0000e+19    2.44254451e-23     
   20.0000       1.0000e+18    1.0000e+20    2.44254451e-23     
   20.0000       1.0000e+19    1.0000e+18    6.56543006e-24     
   20.0000       1.0000e+19    1.0000e+19    6.56543006e-24     
   20.0000       1.0000e+19    1.0000e+20    6.56543006e-24     
   20.0000       1.0000e+20    1.0000e+18    1.44156594e-24     
   20.0000       1.0000e+20    1.0000e+19    1.44156594e-24     
   20.0000       1.0000e+20    1.0000e+20    1.44156594e-24     
