#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=7.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 07:58:44
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(7)' coupled to the particle 'H2'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_n2: 10 calculated values between 1.0000e+18 and 1.0000e+20

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_n2          POP_COEFF      
   1.6681        1.0000e+20    5.9948e+19    1.56084592e-30     
   1.6681        1.0000e+20    1.0000e+20    1.56084592e-30     
   2.1544        1.0000e+18    1.0000e+18    1.07973897e-28     
   2.1544        1.0000e+18    1.6681e+18    1.07973897e-28     
   2.1544        1.0000e+18    2.7826e+18    1.07973897e-28     
   2.1544        1.0000e+18    4.6416e+18    1.07973897e-28     
   2.1544        1.0000e+18    7.7426e+18    1.07973897e-28     
   2.1544        1.0000e+18    1.2915e+19    1.07973897e-28     
   2.1544        1.0000e+18    2.1544e+19    1.07973897e-28     
   2.1544        1.0000e+18    3.5938e+19    1.07973897e-28     
   2.1544        1.0000e+18    5.9948e+19    1.07973897e-28     
   2.1544        1.0000e+18    1.0000e+20    1.07973897e-28     
   2.1544        1.6681e+18    1.0000e+18    8.83853379e-29     
   2.1544        1.6681e+18    1.6681e+18    8.83853379e-29     
   2.1544        1.6681e+18    2.7826e+18    8.83853379e-29     
   2.1544        1.6681e+18    4.6416e+18    8.83853379e-29     
   2.1544        1.6681e+18    7.7426e+18    8.83853379e-29     
   2.1544        1.6681e+18    1.2915e+19    8.83853379e-29     
   2.1544        1.6681e+18    2.1544e+19    8.83853379e-29     
   2.1544        1.6681e+18    3.5938e+19    8.83853379e-29     
   2.1544        1.6681e+18    5.9948e+19    8.83853379e-29     
   2.1544        1.6681e+18    1.0000e+20    8.83853379e-29     
   2.1544        2.7826e+18    1.0000e+18    7.22356469e-29     
   2.1544        2.7826e+18    1.6681e+18    7.22356469e-29     
   2.1544        2.7826e+18    2.7826e+18    7.22356469e-29     
   2.1544        2.7826e+18    4.6416e+18    7.22356469e-29     
   2.1544        2.7826e+18    7.7426e+18    7.22356469e-29     
   2.1544        2.7826e+18    1.2915e+19    7.22356469e-29     
   2.1544        2.7826e+18    2.1544e+19    7.22356469e-29     
   2.1544        2.7826e+18    3.5938e+19    7.22356469e-29     
   2.1544        2.7826e+18    5.9948e+19    7.22356469e-29     
   2.1544        2.7826e+18    1.0000e+20    7.22356469e-29     
   2.1544        4.6416e+18    1.0000e+18    5.89910795e-29     
   2.1544        4.6416e+18    1.6681e+18    5.89910795e-29     
   2.1544        4.6416e+18    2.7826e+18    5.89910795e-29     
   2.1544        4.6416e+18    4.6416e+18    5.89910795e-29     
   2.1544        4.6416e+18    7.7426e+18    5.89910795e-29     
   2.1544        4.6416e+18    1.2915e+19    5.89910795e-29     
   2.1544        4.6416e+18    2.1544e+19    5.89910795e-29     
   2.1544        4.6416e+18    3.5938e+19    5.89910795e-29     
   2.1544        4.6416e+18    5.9948e+19    5.89910795e-29     
   2.1544        4.6416e+18    1.0000e+20    5.89910795e-29     
   2.1544        7.7426e+18    1.0000e+18    4.81632686e-29     
   2.1544        7.7426e+18    1.6681e+18    4.81632686e-29     
   2.1544        7.7426e+18    2.7826e+18    4.81632686e-29     
   2.1544        7.7426e+18    4.6416e+18    4.81632686e-29     
   2.1544        7.7426e+18    7.7426e+18    4.81632686e-29     
   2.1544        7.7426e+18    1.2915e+19    4.81632686e-29     
   2.1544        7.7426e+18    2.1544e+19    4.81632686e-29     
   2.1544        7.7426e+18    3.5938e+19    4.81632686e-29     
   2.1544        7.7426e+18    5.9948e+19    4.81632686e-29     
   2.1544        7.7426e+18    1.0000e+20    4.81632686e-29     
   2.1544        1.2915e+19    1.0000e+18    3.92250448e-29     
